file_id,path,first_seen,last_seen,commit_count,touches,bus_factor,sensitivity_score,sensitivity_tags
.gitignore,.gitignore,2026-03-26T18:39:41+07:00,2026-03-26T21:32:06+07:00,2,2,2,0.00,
LICENSE,LICENSE,2026-03-26T21:32:06+07:00,2026-03-26T21:32:06+07:00,1,1,1,0.00,
README.md,README.md,2026-03-26T18:39:41+07:00,2026-03-26T21:32:06+07:00,2,2,2,0.00,
build-resources/icon.png,build-resources/icon.png,2026-03-26T21:32:06+07:00,2026-03-26T21:32:06+07:00,1,1,1,0.00,
electron-builder.yml,electron-builder.yml,2026-03-26T21:32:06+07:00,2026-03-26T21:32:06+07:00,1,1,1,0.70,packaging
electron.vite.config.ts,electron.vite.config.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
gold_die_logo.png,gold_die_logo.png,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
package.json,package.json,2026-03-26T18:39:41+07:00,2026-03-26T21:32:06+07:00,2,2,2,0.00,
pnpm-lock.yaml,pnpm-lock.yaml,2026-03-26T18:39:41+07:00,2026-03-26T21:32:06+07:00,2,2,2,0.00,
scripts/package-mac.sh,scripts/package-mac.sh,2026-03-26T21:32:06+07:00,2026-03-26T21:32:06+07:00,1,1,1,0.70,packaging
scripts/package-win-docker.sh,scripts/package-win-docker.sh,2026-03-26T21:32:06+07:00,2026-03-26T21:32:06+07:00,1,1,1,0.70,packaging
src/main/capital/client.test.ts,src/main/capital/client.test.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,1.00,capital_client
src/main/capital/client.ts,src/main/capital/client.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,1.00,capital_client
src/main/index.ts,src/main/index.ts,2026-03-26T18:39:41+07:00,2026-03-26T21:31:44+07:00,2,2,2,0.00,
src/main/ipc.test.ts,src/main/ipc.test.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/main/ipc.ts,src/main/ipc.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,1.00,ipc_boundary
src/main/services/app-store.test.ts,src/main/services/app-store.test.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.00,
src/main/services/app-store.ts,src/main/services/app-store.ts,2026-03-26T18:39:41+07:00,2026-03-26T18:39:41+07:00,1,1,1,0.90,persistence
